ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
1994,You should check the software.,IT,Intermediate,"['reboot', 'system', 'software']",Modal Verbs,Moderate,Listening,Check the software.,What is recommended to do with the software?,Check the software.,"['Use a different software.', 'Ignore the software.']"
1995,"If it is damaged, inspect the software.",IT,Beginner,"['software', 'network', 'hardware']",Conditional Sentences,Easy,Reading,Inspect the software.,What happens if the it is damaged?,Inspect the software.,"['Use a different software.', 'Ignore the software.']"
1996,medication must be inspect.,Healthcare,Intermediate,"['stored', 'medication', 'nurse']",Passive Voice,Moderate,Reading,Inspect the medication.,What must be done with the medication?,Inspect the medication.,"['Ignore the medication.', 'Do nothing with the medication.']"
1997,Please inspect the customer.,Retail,Intermediate,"['customer', 'checkout', 'inventory']",Imperative Sentences,Moderate,Speaking,Inspect the customer.,What should you do with the customer?,Inspect the customer.,"['Do nothing with the customer.', 'Ignore the customer.']"
1998,the supervisor said to clean the crop.,Agriculture,Beginner,"['harvest', 'soil', 'crop']",Reported Speech,Easy,Reading,Clean the crop.,What did the supervisor say?,Clean the crop.,"['Use a different crop.', 'Do nothing with the crop.']"
1999,the supervisor said to secure the crop.,Agriculture,Advanced,"['harvest', 'crop', 'soil']",Reported Speech,Difficult,Reading,Secure the crop.,What did the supervisor say?,Secure the crop.,"['Ignore the crop.', 'Do nothing with the crop.']"
2000,"If it is damaged, check the harness.",Construction,Beginner,"['harness', 'equipment', 'secured']",Conditional Sentences,Easy,Speaking,Check the harness.,What happens if the it is damaged?,Check the harness.,"['Do nothing with the harness.', 'Ignore the harness.']"
2001,Please secure the checkout.,Retail,Advanced,"['customer', 'sales', 'checkout']",Imperative Sentences,Difficult,Speaking,Secure the checkout.,What should you do with the checkout?,Secure the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
2002,the supervisor said to clean the repair.,Automotive,Intermediate,"['engine', 'repair', 'inspection']",Reported Speech,Moderate,Reading,Clean the repair.,What did the supervisor say?,Clean the repair.,"['Ignore the repair.', 'Use a different repair.']"
2003,the supervisor said to store the shift.,Hospitality,Beginner,"['shift', 'clean', 'hygiene']",Reported Speech,Easy,Writing,Store the shift.,What did the supervisor say?,Store the shift.,"['Use a different shift.', 'Ignore the shift.']"
2004,the supervisor said to secure the network.,IT,Advanced,"['software', 'network', 'reboot']",Reported Speech,Difficult,Listening,Secure the network.,What did the supervisor say?,Secure the network.,"['Ignore the network.', 'Use a different network.']"
2005,You should clean the checkout.,Retail,Intermediate,"['sales', 'checkout', 'inventory']",Modal Verbs,Moderate,Writing,Clean the checkout.,What is recommended to do with the checkout?,Clean the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
2006,the supervisor said to inspect the hardware.,IT,Beginner,"['reboot', 'hardware', 'software']",Reported Speech,Easy,Reading,Inspect the hardware.,What did the supervisor say?,Inspect the hardware.,"['Use a different hardware.', 'Do nothing with the hardware.']"
2007,"If it is damaged, inspect the soil.",Agriculture,Advanced,"['soil', 'irrigation', 'harvest']",Conditional Sentences,Difficult,Writing,Inspect the soil.,What happens if the it is damaged?,Inspect the soil.,"['Ignore the soil.', 'Do nothing with the soil.']"
2008,the supervisor said to store the checkout.,Retail,Beginner,"['checkout', 'inventory', 'sales']",Reported Speech,Easy,Writing,Store the checkout.,What did the supervisor say?,Store the checkout.,"['Ignore the checkout.', 'Do nothing with the checkout.']"
2009,"If it is damaged, inspect the soil.",Agriculture,Intermediate,"['crop', 'soil', 'irrigation']",Conditional Sentences,Moderate,Writing,Inspect the soil.,What happens if the it is damaged?,Inspect the soil.,"['Use a different soil.', 'Ignore the soil.']"
2010,the supervisor said to check the system.,IT,Advanced,"['hardware', 'reboot', 'system']",Reported Speech,Difficult,Listening,Check the system.,What did the supervisor say?,Check the system.,"['Use a different system.', 'Do nothing with the system.']"
2011,the supervisor said to secure the network.,IT,Beginner,"['reboot', 'network', 'hardware']",Reported Speech,Easy,Listening,Secure the network.,What did the supervisor say?,Secure the network.,"['Do nothing with the network.', 'Ignore the network.']"
2012,the supervisor said to secure the workstation.,Hospitality,Beginner,"['workstation', 'hygiene', 'shift']",Reported Speech,Easy,Speaking,Secure the workstation.,What did the supervisor say?,Secure the workstation.,"['Use a different workstation.', 'Ignore the workstation.']"
2013,Please inspect the oil.,Automotive,Beginner,"['engine', 'repair', 'oil']",Imperative Sentences,Easy,Reading,Inspect the oil.,What should you do with the oil?,Inspect the oil.,"['Use a different oil.', 'Do nothing with the oil.']"
2014,Please secure the repair.,Automotive,Beginner,"['engine', 'repair', 'inspection']",Imperative Sentences,Easy,Reading,Secure the repair.,What should you do with the repair?,Secure the repair.,"['Do nothing with the repair.', 'Ignore the repair.']"
2015,the supervisor said to store the engine.,Automotive,Intermediate,"['oil', 'engine', 'brakes']",Reported Speech,Moderate,Reading,Store the engine.,What did the supervisor say?,Store the engine.,"['Do nothing with the engine.', 'Ignore the engine.']"
2016,the supervisor said to check the network.,IT,Beginner,"['software', 'network', 'reboot']",Reported Speech,Easy,Listening,Check the network.,What did the supervisor say?,Check the network.,"['Do nothing with the network.', 'Ignore the network.']"
2017,"If it is damaged, secure the medication.",Healthcare,Intermediate,"['patient', 'medication', 'temperature']",Conditional Sentences,Moderate,Reading,Secure the medication.,What happens if the it is damaged?,Secure the medication.,"['Use a different medication.', 'Ignore the medication.']"
2018,"If it is damaged, inspect the inventory.",Retail,Advanced,"['sales', 'inventory', 'checkout']",Conditional Sentences,Difficult,Speaking,Inspect the inventory.,What happens if the it is damaged?,Inspect the inventory.,"['Use a different inventory.', 'Ignore the inventory.']"
2019,shift must be clean.,Hospitality,Beginner,"['workstation', 'hygiene', 'shift']",Passive Voice,Easy,Speaking,Clean the shift.,What must be done with the shift?,Clean the shift.,"['Use a different shift.', 'Do nothing with the shift.']"
2020,You should check the brakes.,Automotive,Advanced,"['inspection', 'brakes', 'repair']",Modal Verbs,Difficult,Reading,Check the brakes.,What is recommended to do with the brakes?,Check the brakes.,"['Ignore the brakes.', 'Do nothing with the brakes.']"
2021,temperature must be secure.,Healthcare,Beginner,"['patient', 'temperature', 'medication']",Passive Voice,Easy,Listening,Secure the temperature.,What must be done with the temperature?,Secure the temperature.,"['Use a different temperature.', 'Ignore the temperature.']"
2022,"If it is damaged, store the system.",IT,Intermediate,"['network', 'reboot', 'system']",Conditional Sentences,Moderate,Listening,Store the system.,What happens if the it is damaged?,Store the system.,"['Use a different system.', 'Do nothing with the system.']"
2023,the supervisor said to check the engine.,Automotive,Intermediate,"['engine', 'repair', 'inspection']",Reported Speech,Moderate,Reading,Check the engine.,What did the supervisor say?,Check the engine.,"['Ignore the engine.', 'Use a different engine.']"
2024,Please secure the medication.,Healthcare,Beginner,"['nurse', 'patient', 'medication']",Imperative Sentences,Easy,Listening,Secure the medication.,What should you do with the medication?,Secure the medication.,"['Ignore the medication.', 'Use a different medication.']"
2025,Please secure the hardware.,IT,Advanced,"['reboot', 'hardware', 'system']",Imperative Sentences,Difficult,Listening,Secure the hardware.,What should you do with the hardware?,Secure the hardware.,"['Ignore the hardware.', 'Use a different hardware.']"
2026,inventory must be secure.,Retail,Intermediate,"['inventory', 'checkout', 'customer']",Passive Voice,Moderate,Writing,Secure the inventory.,What must be done with the inventory?,Secure the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
2027,"If it is damaged, inspect the sales.",Retail,Intermediate,"['sales', 'customer', 'product']",Conditional Sentences,Moderate,Writing,Inspect the sales.,What happens if the it is damaged?,Inspect the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
2028,You should secure the patient.,Healthcare,Advanced,"['nurse', 'patient', 'stored']",Modal Verbs,Difficult,Reading,Secure the patient.,What is recommended to do with the patient?,Secure the patient.,"['Ignore the patient.', 'Use a different patient.']"
2029,You should store the equipment.,Construction,Advanced,"['equipment', 'tools', 'harness']",Modal Verbs,Difficult,Reading,Store the equipment.,What is recommended to do with the equipment?,Store the equipment.,"['Use a different equipment.', 'Do nothing with the equipment.']"
2030,You should secure the tools.,Construction,Advanced,"['equipment', 'safety', 'tools']",Modal Verbs,Difficult,Reading,Secure the tools.,What is recommended to do with the tools?,Secure the tools.,"['Use a different tools.', 'Do nothing with the tools.']"
2031,network must be check.,IT,Beginner,"['hardware', 'reboot', 'network']",Passive Voice,Easy,Reading,Check the network.,What must be done with the network?,Check the network.,"['Do nothing with the network.', 'Ignore the network.']"
2032,the supervisor said to inspect the equipment.,Construction,Beginner,"['equipment', 'harness', 'secured']",Reported Speech,Easy,Reading,Inspect the equipment.,What did the supervisor say?,Inspect the equipment.,"['Ignore the equipment.', 'Do nothing with the equipment.']"
2033,workstation must be check.,Hospitality,Advanced,"['hygiene', 'workstation', 'service']",Passive Voice,Difficult,Writing,Check the workstation.,What must be done with the workstation?,Check the workstation.,"['Ignore the workstation.', 'Use a different workstation.']"
2034,Please store the reboot.,IT,Advanced,"['hardware', 'network', 'reboot']",Imperative Sentences,Difficult,Reading,Store the reboot.,What should you do with the reboot?,Store the reboot.,"['Ignore the reboot.', 'Do nothing with the reboot.']"
2035,Please check the reboot.,IT,Advanced,"['system', 'reboot', 'network']",Imperative Sentences,Difficult,Listening,Check the reboot.,What should you do with the reboot?,Check the reboot.,"['Do nothing with the reboot.', 'Use a different reboot.']"
2036,"If it is damaged, clean the network.",IT,Advanced,"['software', 'hardware', 'network']",Conditional Sentences,Difficult,Reading,Clean the network.,What happens if the it is damaged?,Clean the network.,"['Do nothing with the network.', 'Ignore the network.']"
2037,"If it is damaged, clean the checkout.",Retail,Advanced,"['inventory', 'sales', 'checkout']",Conditional Sentences,Difficult,Speaking,Clean the checkout.,What happens if the it is damaged?,Clean the checkout.,"['Do nothing with the checkout.', 'Ignore the checkout.']"
2038,You should inspect the inventory.,Retail,Beginner,"['customer', 'sales', 'inventory']",Modal Verbs,Easy,Writing,Inspect the inventory.,What is recommended to do with the inventory?,Inspect the inventory.,"['Do nothing with the inventory.', 'Ignore the inventory.']"
2039,the supervisor said to check the product.,Retail,Advanced,"['customer', 'product', 'sales']",Reported Speech,Difficult,Speaking,Check the product.,What did the supervisor say?,Check the product.,"['Use a different product.', 'Ignore the product.']"
